time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1700017929, 12, 4, 14200, 12, 652814, 57.94, 57.90
1700017942, 12, 4, 14200, 12, 913472, 60.37, 60.30
1700017955, 12, 4, 14200, 12, 878278, 61.84, 61.80
1700017968, 12, 4, 14200, 13, 48498, 64.27, 63.70
1700017981, 12, 4, 14200, 13, 515543, 64.76, 64.70
1700017994, 12, 4, 14200, 12, 595895, 66.70, 66.20
1700018007, 12, 4, 14200, 13, 282945, 66.70, 66.70
1700018020, 12, 4, 14200, 12, 878204, 67.19, 67.20
1700018033, 12, 4, 14200, 13, 63251, 68.17, 67.60
1700018046, 12, 4, 14200, 12, 718484, 67.19, 68.10
1700018059, 12, 4, 14200, 13, 153709, 68.17, 68.10
1700018072, 12, 4, 14200, 12, 930749, 70.11, 70.10
1700018085, 12, 4, 14200, 12, 751579, 70.11, 70.10
1700018097, 12, 4, 14200, 12, 326039, 71.58, 71.50
1700018111, 12, 4, 14200, 13, 219592, 68.65, 68.60
1700018124, 12, 4, 14200, 12, 922183, 70.60, 70.10
1700018137, 12, 4, 14200, 13, 40264, 71.58, 70.60
1700018151, 12, 4, 14200, 13, 961196, 69.63, 69.60
1700018163, 12, 4, 14200, 12, 705152, 69.63, 69.60
1700018176, 12, 4, 14200, 12, 424944, 71.58, 71.50
1700018188, 12, 4, 14200, 12, 245912, 73.52, 73.50
1700018200, 12, 4, 14200, 12, 279456, 72.06, 73.00
1700018213, 12, 4, 14200, 12, 355311, 73.04, 73.00
1700018225, 12, 4, 14200, 12, 513645, 72.55, 72.50
1700018238, 12, 4, 14200, 12, 824009, 73.04, 73.00
1700018251, 12, 4, 14200, 12, 449220, 72.55, 72.50
1700018263, 12, 4, 14200, 12, 266257, 74.50, 74.00
1700018275, 12, 4, 14200, 12, 209108, 74.50, 74.50
1700018289, 12, 4, 14200, 13, 726886, 72.55, 71.10
1700018302, 12, 4, 14200, 12, 993061, 72.55, 72.50
1700018315, 12, 4, 14200, 13, 29927, 73.04, 72.50
1700018329, 12, 4, 14200, 13, 708316, 71.58, 71.50
1700018342, 12, 4, 14200, 12, 724374, 74.98, 75.00
1700018354, 12, 4, 14200, 12, 355029, 73.52, 73.50
1700018368, 12, 4, 14200, 13, 279699, 72.55, 72.50
1700018380, 12, 4, 14200, 12, 774298, 74.01, 73.50
1700018393, 12, 4, 14200, 12, 791071, 73.52, 73.50
1700018406, 12, 4, 14200, 12, 947844, 73.04, 73.00
1700018420, 12, 4, 14200, 13, 556545, 72.55, 73.50
1700018433, 12, 4, 14200, 13, 283901, 74.01, 73.50
1700018446, 12, 4, 14200, 12, 735643, 73.04, 74.50
1700018459, 12, 4, 14200, 12, 946417, 73.04, 73.50
1700018472, 12, 4, 14200, 13, 24428, 74.01, 74.00
1700018485, 12, 4, 14200, 12, 789972, 74.50, 74.50
1700018498, 12, 4, 14200, 12, 979236, 73.04, 73.00
1700018510, 12, 4, 14200, 12, 332670, 74.98, 73.50
1700018524, 12, 4, 14200, 13, 605014, 74.01, 74.00
1700018537, 12, 4, 14200, 12, 543679, 73.52, 73.50
1700018550, 12, 4, 14200, 13, 368434, 73.52, 73.00
1700018563, 12, 4, 14200, 13, 490884, 71.58, 71.50
1700018576, 12, 4, 14200, 12, 699491, 73.52, 73.50
1700018589, 12, 4, 14200, 12, 710993, 75.96, 75.90
1700018602, 12, 4, 14200, 13, 368395, 73.52, 73.50
1700018616, 12, 4, 14200, 13, 867997, 74.50, 73.00
1700018630, 12, 4, 14200, 14, 9694, 74.98, 74.00
1700018643, 12, 4, 14200, 12, 832922, 74.98, 75.00
1700018656, 12, 4, 14200, 13, 23697, 74.98, 75.00
1700018669, 12, 4, 14200, 13, 126057, 74.01, 74.00
1700018682, 12, 4, 14200, 12, 375638, 75.96, 75.90
1700018694, 12, 4, 14200, 12, 250087, 77.42, 77.40
1700018707, 12, 4, 14200, 13, 57496, 74.01, 74.00
1700018721, 12, 4, 14200, 13, 874176, 72.55, 72.50
1700018734, 12, 4, 14200, 12, 382579, 73.52, 73.50
1700018747, 12, 4, 14200, 13, 217626, 74.98, 75.00
1700018760, 12, 4, 14200, 13, 138821, 74.01, 74.00
1700018774, 12, 4, 14200, 13, 355894, 74.01, 73.00
1700018787, 12, 4, 14200, 13, 355686, 76.44, 76.40
1700018800, 12, 4, 14200, 12, 520823, 76.93, 76.90
1700018812, 12, 4, 14200, 12, 845673, 75.47, 74.50
1700018826, 12, 4, 14200, 13, 185109, 74.98, 75.00
1700018839, 12, 4, 14200, 12, 868826, 74.98, 75.00
1700018852, 12, 4, 14200, 12, 980706, 75.47, 75.40
1700018864, 12, 4, 14200, 12, 775959, 75.47, 75.40
1700018877, 12, 4, 14200, 12, 812319, 74.50, 74.50
1700018891, 12, 4, 14200, 13, 424641, 74.01, 74.50
1700018904, 12, 4, 14200, 12, 905426, 75.47, 75.40
1700018917, 12, 4, 14200, 13, 243042, 73.52, 73.50
1700018930, 12, 4, 14200, 13, 22090, 74.50, 74.50
1700018943, 12, 4, 14200, 12, 613791, 75.96, 75.90
1700018955, 12, 4, 14200, 12, 517057, 74.98, 75.40
1700018968, 12, 4, 14200, 12, 873115, 75.96, 75.90
1700018981, 12, 4, 14200, 12, 456792, 75.96, 75.90
1700018994, 12, 4, 14200, 12, 926632, 75.96, 75.00
1700019007, 12, 4, 14200, 12, 834779, 74.98, 75.00
1700019020, 12, 4, 14200, 12, 970723, 75.47, 75.40
1700019033, 12, 4, 14200, 12, 843701, 74.50, 74.50
1700019045, 12, 4, 14200, 12, 608860, 74.98, 75.40
1700019058, 12, 4, 14200, 12, 603816, 75.96, 75.00
1700019072, 12, 4, 14200, 13, 843333, 73.52, 73.50
1700019085, 12, 4, 14200, 13, 427803, 73.52, 73.50
1700019098, 12, 4, 14200, 12, 703142, 76.44, 76.40
1700019111, 12, 4, 14200, 13, 124922, 74.98, 75.00
1700019124, 12, 4, 14200, 13, 120657, 74.01, 75.90
1700019137, 12, 4, 14200, 13, 11863, 75.47, 75.40
1700019151, 12, 4, 14200, 13, 843421, 74.01, 74.00
1700019165, 12, 4, 14200, 13, 470271, 73.52, 73.50
1700019177, 12, 4, 14200, 12, 677672, 76.44, 76.40
1700019190, 12, 4, 14200, 12, 511536, 75.96, 76.40
1700019203, 12, 4, 14200, 13, 241225, 74.98, 75.00
1700019217, 12, 4, 14200, 13, 597847, 73.04, 74.00
